mlcape,mlcin,srh01
3180.167,-24.521,20.072
1170.000,-237.805,150.452
1806.167,-7.456,20.237
1361.000,-4.041,14.120
540.500,-83.447,42.800
1285.000,-12.441,23.101
722.500,-78.610,23.540
270.000,-96.090,11.234
1685.500,-25.026,39.084
951.500,-82.680,53.960
134.500,-185.502,72.842
2217.000,-0.219,-5.718
1902.500,-3.898,-17.811
1523.000,-3.025,-27.906
398.333,-19.825,7.261
704.167,-15.727,14.666
114.167,-135.456,78.617
460.000,-10.859,-7.493
630.000,-5.087,9.339
85.000,-69.812,6.468
205.333,-15.197,24.242
45.333,-69.241,11.123
0.000,0.164,-8.623
594.000,-4.973,3.539
416.000,-7.351,2.181
682.667,-0.472,15.449
2056.667,-16.704,98.435
2091.667,-5.257,72.300
1195.000,-105.237,146.239
1843.333,-4.001,38.690
1093.333,-32.309,81.043
833.333,-47.850,134.826
1363.333,-2.102,45.174
1059.333,-0.278,50.130
726.667,-0.563,62.067
329.500,-1.515,121.522
491.000,-15.652,92.282
745.500,-5.172,122.206
1103.833,-3.708,326.135
1051.333,-2.102,331.872
230.833,-21.243,222.280
1711.000,-0.150,149.710
1776.000,-1.056,157.721
821.000,-4.021,107.982
24.000,-5.396,110.706
32.000,-5.520,148.004
23.000,-11.295,158.001
269.667,-6.004,78.243
257.000,-6.281,115.536
255.667,-6.864,108.290
25.000,-22.569,-84.558
110.000,-90.363,11.593
1235.000,-1.225,23.902
1507.333,-0.935,49.909
1133.333,-6.381,114.675
1884.000,-1.497,122.914
53.000,-14.320,131.560
4.333,-0.084,78.704
10.000,-0.039,75.310
301.667,-2.639,61.608
41.667,-2.357,41.583
18.333,0.029,72.708
106.500,0.156,127.242
54.500,-1.811,108.927
296.000,-0.613,162.393
1850.000,-4.993,128.688
1772.500,-3.847,114.151
1252.500,-34.444,149.926
722.000,-6.672,141.697
1002.000,-0.227,147.464
530.667,-10.340,163.577
1950.333,-0.538,109.369
1893.000,0.308,101.334
1509.667,-2.705,101.595
90.000,-21.669,296.342
117.000,-8.895,179.751
53.000,-41.224,174.760
12.667,-4.009,131.837
58.667,-120.577,417.570
0.000,-23.587,414.512
469.500,-16.889,84.605
455.500,-45.020,122.593
213.500,-93.543,99.025
1271.667,-4.266,182.991
794.667,-8.900,176.639
112.833,-42.378,213.434
119.667,-168.439,337.807
45.333,-331.986,462.990
103.667,-367.432,316.414
123.500,-1.119,303.286
36.000,-4.900,281.646
0.000,0.034,306.777
587.333,-65.190,307.238
28.667,-226.549,417.255
252.000,-191.296,304.754
523.333,-3.884,98.629
37.333,-268.219,105.255
0.000,-181.897,66.974
1206.000,-3.833,33.886
909.667,-8.931,70.133
596.000,-20.893,89.816
1181.667,-0.297,118.631
706.667,-35.289,129.865
833.333,-31.458,98.978
50.000,-6.198,52.774
0.000,-15.932,66.684
0.000,0.144,85.501
92.000,-86.104,208.823
104.000,-87.039,118.186
666.000,-40.516,387.041
1431.333,-125.310,115.518
2215.500,-38.825,124.764
1760.000,-49.973,237.448
1416.000,-10.849,165.417
1046.000,-29.287,161.132
326.000,-233.282,94.103
577.500,-7.573,255.595
358.167,-23.044,362.946
539.333,4.123,179.316
1016.333,-0.204,206.682
826.000,0.013,121.674
671.000,-0.245,155.717
907.500,-5.261,11.565
833.000,-42.869,18.024
96.333,-144.379,28.897
120.000,-1.861,9.448
0.000,0.045,39.650
0.000,-2.678,50.430
510.000,-13.548,218.514
45.500,-142.239,262.132
5.167,-51.965,546.819
1102.000,-9.631,21.767
1081.833,-12.512,15.675
232.000,-169.848,21.147
2261.000,-40.160,349.045
1257.000,-102.013,299.315
407.000,-322.035,256.259
10.000,-133.179,-185.768
1650.000,-103.904,161.331
920.000,-274.227,132.652
1206.833,-4.663,159.946
1068.833,-13.967,123.401
367.333,-151.739,39.811
3824.000,-10.951,64.910
4333.333,-3.249,5.198
4008.833,-24.881,-0.142
1760.833,-5.490,48.084
1480.000,-18.162,89.681
1605.000,-3.931,29.546
19.000,-51.869,87.364
61.000,-6.462,101.969
81.000,-1.274,87.784
228.000,-0.024,65.383
226.000,-1.141,50.443
107.500,-24.754,116.271
2107.500,-6.681,227.044
922.500,-195.614,319.194
332.500,-408.416,280.021
1630.500,4.016,50.684
1389.000,-4.807,49.211
545.000,-9.281,-27.236
1307.500,-0.403,87.697
590.000,-5.865,91.749
65.833,-12.915,120.252
469.000,-0.263,97.735
531.000,0.103,73.615
484.000,-0.349,3.981
671.667,-2.943,1.491
740.833,-4.350,-4.596
540.000,-0.470,4.517
1310.000,-19.541,164.709
462.500,-210.302,213.340
141.667,-232.568,233.253
548.000,-84.233,90.560
344.000,-93.831,85.519
0.000,-0.290,66.491
3958.667,-14.609,172.690
4678.000,-0.663,79.676
2477.333,-38.374,109.995
686.833,-13.594,16.235
167.167,-72.389,41.951
0.000,-3.758,17.603
3271.333,-13.975,150.567
2914.333,-18.025,134.537
2444.333,-101.744,178.479
881.000,-1.355,137.145
1055.500,-0.715,147.001
1112.500,-11.750,170.554
190.000,-15.599,105.664
28.500,-28.665,104.362
0.000,0.013,94.085
1194.167,-1.452,2.739
396.667,-4.005,26.482
71.333,-142.853,28.516
1065.000,-25.898,103.737
460.000,-72.948,117.882
469.500,-68.706,120.568
737.333,-1.151,80.717
164.333,-31.791,101.117
76.333,-76.789,160.406
981.000,-1.410,114.394
252.500,-72.238,104.868
188.500,-77.009,53.246
949.000,-5.426,68.159
605.833,-8.477,47.616
31.333,-44.152,80.793
382.500,-110.689,209.224
299.167,-83.328,32.863
212.500,-125.198,73.078
1361.667,-0.387,27.844
608.333,-20.435,171.402
0.000,0.038,144.923
635.667,-9.664,33.456
556.833,-5.969,15.034
41.667,-29.926,6.375
2248.333,-2.339,31.185
1568.000,-7.744,35.226
